neighborhood,date,flat_price_per_sqm,house_price_per_sqm,
Verkiai,2015,2438.88,962.88,
Verkiai,2016,2188.20,1042.48,
Verkiai,2017,2123.95,1163.34,
Verkiai,2018,2328.84,1302.48,
Verkiai,2019,2542.43,1234.01,
Antakalnis,2015,1712.65,1121.87,
Antakalnis,2016,1765.60,1258.29,
Antakalnis,2017,1883.70,1249.95,
Antakalnis,2018,2079.65,1309.00,
Antakalnis,2019,2159.75,1204.06,
Pašilaičiai,2015,1172.04,977.15,
Pašilaičiai,2016,1244.60,851.76,
Pašilaičiai,2017,1362.87,1014.21,
Pašilaičiai,2018,1306.35,1255.16,
Pašilaičiai,2019,1346.12,1355.49,
Fabijoniškės,2015,1314.05,875.79,
Fabijoniškės,2016,1362.96,821.89,
Fabijoniškės,2017,1418.37,1027.83,
Fabijoniškės,2018,1451.09,1189.95,
Fabijoniškės,2019,1487.74,1085.74,
Pilaitė,2015,1334.03,885.94,
Pilaitė,2016,1374.14,892.12,
Pilaitė,2017,1488.87,968.20,
Pilaitė,2018,1462.61,1034.03,
Pilaitė,2019,1527.27,1079.82,
Justiniškės,2015,1180.37,861.15,
Justiniškės,2016,1254.17,890.67,
Justiniškės,2017,1419.11,1114.67,
Justiniškės,2018,1435.46,1379.03,
Justiniškės,2019,1561.02,1766.02,
Viršuliškės,2015,1440.84,753.70,
Viršuliškės,2016,1467.11,1094.93,
Viršuliškės,2017,1553.58,1714.43,
Viršuliškės,2018,1548.00,2823.31,
Viršuliškės,2019,1549.24,1226.92,
Šeškinė,2015,1485.44,1115.39,
Šeškinė,2016,1500.24,1320.47,
Šeškinė,2017,1803.74,1407.23,
Šeškinė,2018,2332.48,1769.41,
Šeškinė,2019,1777.28,1750.12,
Šnipiškės,2015,1928.12,1219.83,
Šnipiškės,2016,1764.35,1196.14,
Šnipiškės,2017,2103.68,1263.36,
Šnipiškės,2018,2490.36,1496.17,
Šnipiškės,2019,2735.59,1299.27,
Žirmūnai,2015,1722.44,1236.91,
Žirmūnai,2016,1772.98,1434.94,
Žirmūnai,2017,1971.58,1901.47,
Žirmūnai,2018,2061.70,1682.45,
Žirmūnai,2019,2251.96,1269.50,
Karoliniškės,2015,1662.53,1196.78,
Karoliniškės,2016,1795.17,1321.02,
Karoliniškės,2017,1894.88,1387.47,
Karoliniškės,2018,1756.66,1155.58,
Karoliniškės,2019,2193.33,1326.13,
Žvėrynas,2015,2353.01,2687.87,
Žvėrynas,2016,2335.63,2222.23,
Žvėrynas,2017,2254.55,2390.84,
Žvėrynas,2018,2430.04,2767.85,
Žvėrynas,2019,3044.59,2346.94,
Grigiškės,2015,908.17,778.37,
Grigiškės,2016,576.28,754.49,
Grigiškės,2017,1251.76,882.99,
Grigiškės,2018,1455.94,758.15,
Grigiškės,2019,1076.84,902.68,
Lazdynai,2015,1384.88,848.73,
Lazdynai,2016,1482.84,1028.66,
Lazdynai,2017,1632.68,1439.78,
Lazdynai,2018,1790.60,1176.66,
Lazdynai,2019,1941.58,1317.35,
Vilkpėdė,2015,1263.94,668.67,
Vilkpėdė,2016,1217.39,849.96,
Vilkpėdė,2017,1522.18,856.94,
Vilkpėdė,2018,1517.25,796.54,
Vilkpėdė,2019,1615.05,760.97,
Naujamiestis,2015,1853.52,1483.75,
Naujamiestis,2016,1983.42,1477.48,
Naujamiestis,2017,2109.88,1541.79,
Naujamiestis,2018,2364.44,1911.47,
Naujamiestis,2019,2760.94,2051.37,
Senamiestis,2015,2648.59,1688.91,
Senamiestis,2016,2867.81,1996.29,
Senamiestis,2017,2834.07,2386.16,
Senamiestis,2018,3067.14,2489.26,
Senamiestis,2019,3479.34,2719.29,
Naujoji Vilnia,2015,943.46,606.47,
Naujoji Vilnia,2016,1063.82,627.27,
Naujoji Vilnia,2017,1172.83,610.41,
Naujoji Vilnia,2018,1251.04,675.35,
Naujoji Vilnia,2019,1217.65,710.04,
Paneriai,2015,1670.88,812.88,
Paneriai,2016,1349.20,527.70,
Paneriai,2017,1165.53,761.25,
Paneriai,2018,955.72,453.75,
Paneriai,2019,1295.46,714.52,
Naujininkai,2015,1142.85,904.50,
Naujininkai,2016,1275.16,851.61,
Naujininkai,2017,1350.94,834.54,
Naujininkai,2018,1382.48,860.32,
Naujininkai,2019,1550.47,921.28,
Rasos,2015,1880.28,1590.70,
Rasos,2016,1820.98,1157.88,
Rasos,2017,2055.10,1668.78,
Rasos,2018,2039.48,1633.18,
Rasos,2019,1658.84,1389.79,
